Execution_ID,Execution_Date,Module,Test_Case_ID,Test_Title,Browser,Status,Duration_ms,Error_Message,Screenshot_Path,Trace_Path,Executed_By,Notes
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-001,PDP-001/PDP-004: Product details page renders name and price,chromium,passed,9142,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-005,PDP-005/PDP-006/PDP-007: Quantity control plus/minus behavior,chromium,passed,10507,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-009,PDP-009: Add to cart from PDP,chromium,passed,5502,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-010,PDP-010: Invalid product id shows guard behavior,chromium,passed,2254,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-002,PDP-002: Back button navigates away from PDP,chromium,passed,5979,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-003,PDP-003: Product image renders with alt text,chromium,passed,5883,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-008,PDP-008: Favourite toggle on product details is clickable,chromium,passed,4682,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-011,PDP-011: Direct access without authenticated state is guarded,chromium,passed,3597,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-001,PDP-001-S: @smoke Product details page loads with name and price,chromium,passed,3303,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-009,PDP-009-S: @smoke Add to cart from PDP updates badge,chromium,passed,8966,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-012,PDP-012: @regression Product id=0 shows guard or empty state,chromium,passed,4674,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-013,PDP-013: @regression Quantity cannot go below 1 via minus button,chromium,passed,4066,,,,Test_Execute_Agent,
RUN-20260519055607,2026-05-19T05:56:07.077Z,3. PRODUCT DETAILS PAGE,PDP-014,PDP-014: @regression Page renders correctly for a second product,chromium,passed,7869,,,,Test_Execute_Agent,
